Run_Date,Source_Date,Update_Time,NE_Actual,NE_Dev_Norm,NE_Dev_Year,NE_Seas_Total,MA_Actual,MA_Dev_Norm,MA_Dev_Year,MA_Seas_Total,MW_Actual,MW_Dev_Norm,MW_Dev_Year,MW_Seas_Total,US_Actual,US_Dev_Norm,US_Dev_Year,US_Seas_Total
2025-11-30,2025-11-22,2025-11-30 12:41:36,195,24,52,1032,171,9,48,858,175,-11,49,955,129,-17,12,671
2025-12-01,2025-11-29,2025-12-01 16:54:00,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-02,2025-11-29,2025-12-02 15:59:01,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-03,2025-11-29,2025-12-03 15:58:13,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-04,2025-11-29,2025-12-04 15:57:59,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-05,2025-11-29,2025-12-05 15:55:28,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-06,2025-11-29,2025-12-06 15:51:37,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-07,2025-11-29,2025-12-07 15:51:20,185,-3,15,1217,172,-8,10,1030,205,-2,17,1160,149,-13,1,820
2025-12-08,2025-12-06,2025-12-08 15:52:25,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-09,2025-12-06,2025-12-09 15:56:28,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-10,2025-12-06,2025-12-10 15:59:02,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-11,2025-12-06,2025-12-11 16:01:26,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-12,2025-12-06,2025-12-12 15:55:55,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-13,2025-12-06,2025-12-13 15:51:40,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-14,2025-12-06,2025-12-14 15:51:00,248,42,8,1466,242,46,5,1272,298,73,12,1457,218,42,13,1038
2025-12-15,2025-12-13,2025-12-15 16:01:13,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-16,2025-12-13,2025-12-16 15:58:58,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-17,2025-12-13,2025-12-17 16:00:20,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-18,2025-12-13,2025-12-18 15:58:35,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-19,2025-12-13,2025-12-19 15:56:41,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-20,2025-12-13,2025-12-20 15:51:34,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-21,2025-12-13,2025-12-21 15:51:40,269,45,64,1735,265,52,75,1537,287,43,52,1744,200,9,23,1238
2025-12-22,2025-12-20,2025-12-22 15:56:03,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-23,2025-12-20,2025-12-23 15:56:43,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-24,2025-12-20,2025-12-24 15:54:36,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-25,2025-12-20,2025-12-25 15:52:03,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-26,2025-12-20,2025-12-26 15:52:58,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-27,2025-12-20,2025-12-27 15:51:24,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-28,2025-12-20,2025-12-28 15:51:42,240,0,12,1975,244,15,29,1781,288,28,57,2032,198,-5,26,1436
2025-12-29,2025-12-27,2025-12-29 15:53:50,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2025-12-30,2025-12-27,2025-12-30 15:54:20,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2025-12-31,2025-12-27,2025-12-31 15:52:39,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2026-01-01,2025-12-27,2026-01-01 15:52:30,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2026-01-02,2025-12-27,2026-01-02 15:53:23,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2026-01-03,2025-12-27,2026-01-03 15:51:19,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2026-01-04,2025-12-27,2026-01-04 15:51:33,260,6,-38,2234,234,-7,-48,2015,203,-72,-45,2236,151,-62,-47,1587
2026-01-05,2026-01-03,2026-01-05 15:57:09,287,23,103,2522,268,16,94,2283,281,-5,79,2517,207,-14,49,1794
2026-01-06,2026-01-03,2026-01-06 15:56:51,287,23,103,2522,268,16,94,2283,281,-5,79,2517,207,-14,49,1794
2026-01-07,2026-01-03,2026-01-07 15:58:12,287,23,103,2522,268,16,94,2283,281,-5,79,2517,207,-14,49,1794
2026-01-08,2026-01-03,2026-01-08 15:58:32,287,23,103,2522,268,16,94,2283,281,-5,79,2517,207,-14,49,1794
